id,title,genres,cast,director,overview,year
1226863,The Super Mario Galaxy Movie,Family Comedy Adventure Fantasy Animation,Chris Pratt Charlie Day Anya Taylor-Joy,Michael Jelenic,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",2026.0
1523145,Your Heart Will Be Broken,Romance Drama,Daniel Vegas Veronika Zhuravleva Ivan Trushin,Mikhail Vaynberg,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",2026.0
83533,Avatar: Fire and Ash,Science Fiction Adventure Fantasy,Sam Worthington Zoe Saldaña Sigourney Weaver,James Cameron,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",2025.0
687163,Project Hail Mary,Science Fiction Adventure,Ryan Gosling Sandra Hüller James Ortiz,Phil Lord,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",2026.0
980431,"Avatar: Aang, The Last Airbender",Animation Action Adventure Fantasy,Eric Nam Dave Bautista Jessica Matten,Lauren Montgomery,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",2026.0
1470130,The Mortuary Assistant,Horror Mystery,Willa Holland Paul Sparks John Adams,Jeremiah Kipp,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn.",2026.0
1327819,Hoppers,Animation Family Science Fiction Comedy Adventure,Piper Curda Bobby Moynihan Jon Hamm,Daniel Chong,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",2026.0
1290417,Thrash,Horror Thriller,Phoebe Dynevor Whitney Peak Djimon Hounsou,Tommy Wirkola,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",2026.0
20222,Sex with Love,Comedy Romance,Álvaro Rudolphy Sigrid Alegría Patricio Contreras,Boris Quercia,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",2003.0
1084577,Balls Up,Comedy Action Adventure,Mark Wahlberg Paul Walter Hauser Sacha Baron Cohen,Peter Farrelly,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive.",2026.0
